topic,word,pronunciation,word_type,meaning,example_en,example_vi,image_url,audio_url
124,certificate,/səˈtɪfɪkət/,n,giấy chứng nhận; chứng chỉ,Please keep this certificate.,Xin giữ giấy chứng nhận này.,https://audio.tudienkala.com/data/cache/images/300x225/c/e/certificate2.jpg,https://audio.tudienkala.com/audio/c/e/certificate.mp3
124,chair,/tʃeə(r)/,n,ghế tựa,The chair has four legs.,Cái ghế tựa có bốn chân.,https://audio.tudienkala.com/data/cache/images/300x225/c/h/chair-l61.jpg,https://audio.tudienkala.com/audio/c/h/chair-l6.mp3
124,challenge,/ˈtʃælɪndʒ/,n,thử thách,The role will be the biggest challenge of his acting career.,Vai diễn này sẽ là thử thách lớn nhất trong sự nghiệp diễn xuất của anh ấy,https://audio.tudienkala.com/data/cache/images/300x225/c/h/challenge1.jpg,https://audio.tudienkala.com/audio/c/h/challenge.mp3
124,character,/ˈkærəktər/,n,nhân vật,He is also the main character in some Hollywood films.,Anh ấy cũng là nhân vật chính trong một số bộ phim của Hollywood.,https://audio.tudienkala.com/data/images_example/300x225/h/e/he_is_also_ex1_56248cf57f8b9af80c012325.jpg,https://audio.tudienkala.com/audio/c/h/character.mp3
124,cheque,/ tʃɛk /,n,séc,Can you cash this cheque?,Bạn có thể đổi tờ séc này ra tiền mặt không?,https://audio.tudienkala.com/data/cache/images/300x225/c/h/cheque1.jpg,https://audio.tudienkala.com/audio/c/h/cheque.mp3
124,chief executive officer,/tʃiːf ɪɡˈzekjətɪv ˈɔːfɪsər/,n,giám đốc điều hành,"Mr. Immelt has been named one of the ""World's Best CEOs"" three times by Barron's.","Ông Immelt đã được mệnh danh là một trong những ""Giám đốc điều hành xuất sắc nhất thế giới"" ba lần bởi Barron.",https://audio.tudienkala.com/data/cache/images/300x225/c/h/chief_executive_officer1.jpg,https://audio.tudienkala.com/audio/c/h/chief_executive_officer.mp3
124,client,/'klaiənt/,n,"khách, khách hàng","We must provide excellent services for our clients, otherwise we will lose them to our competition.","Chúng ta phải cung cấp các dịch vụ xuất sắc cho khách hàng của mình, bằng không chúng ta sẽ để mất họ vào tay đối thủ.",https://audio.tudienkala.com/data/cache/images/300x225/c/l/client1.jpg,https://audio.tudienkala.com/audio/c/l/client.mp3
124,collect,/kə'lekt/,v,"thu nhặt, sưu tập",I often collect stamps.,Tôi thường sưu tập tem.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/collect1.jpg,https://audio.tudienkala.com/audio/c/o/collect.mp3
124,commitment,/kəˈmɪtmənt,n,sự tận tâm,She has made a commitment to do her job well.,Cô đã làm một cam kết làm tốt công việc của mình.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/commitment2.jpg,https://audio.tudienkala.com/audio/c/o/commitment.mp3
124,compensation,/ˌkɑːmpenˈseɪʃn/,n,"sự, tiền đền bù, bồi thường (thiệt hại)",She received a cash sum by way of compensation.,Cô ấy nhận được một khoản bồi thường bằng tiền mặt.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/compensation1.jpg,https://audio.tudienkala.com/audio/c/o/compensation.mp3
124,conduct,/'kɔndəkt/,v,"tiến hành, cư xử",Interviews were conducted over a period of three weeks.,Các cuộc phỏng vấn được tổ chức trong suốt giai đoạn kéo dài 3 tuần.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/conduct1.jpg,https://audio.tudienkala.com/audio/c/o/conduct.mp3
124,confirm,/kənˈfɜː(r)m/,v,xác nhận,Please write to confirm your reservation.,Xin vui lòng viết xác nhận cho việc đặt phòng của bạn.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/confirm1.jpg,https://audio.tudienkala.com/audio/c/o/confirm.mp3
124,consultant,/kənˈsʌltənt/,n,người cố vấn,He is our company's consultant.,Ông ấy là cố vấn của công ty chúng ta.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/consultant1.jpg,https://audio.tudienkala.com/audio/c/o/consultant.mp3
124,contact,/ˈkɒntækt/,v,"tiếp xúc, liên hệ",Manuel contacted at least a dozen car rental agencies to get the best deal.,Manuel đã tiếp xúc với ít nhất một tá đại lý đại lý cho thuê xe để được giao dịch tốt nhất.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/contact1.png,https://audio.tudienkala.com/audio/c/o/contact.mp3
124,contract,/kənˈtrakt/,n,hợp đồng,Are you going to break the contract?,Bạn đang định phá vỡ hợp đồng phải không?,https://audio.tudienkala.com/data/cache/images/300x225/c/o/contracts1.jpg,https://audio.tudienkala.com/audio/c/o/contract.mp3
124,contribute,/kən'tribju:t/,v,đóng góp,Do you contribute anything to this charity?,Bạn có đóng góp gì cho buổi từ thiện này không?,https://audio.tudienkala.com/data/cache/images/300x225/c/o/contribute1.jpg,https://audio.tudienkala.com/audio/c/o/contribute.mp3
124,contribution,/ˌkɒntrɪˈbjuːʃən/,n,sự đóng góp,"A person's true value does not lie in his appearance, but in his achievements and contributions to the community.","Giá trị đích thực của một người không nằm ở vẻ bề ngoài, mà ở những thành tích và đóng góp của họ với cộng đồng.",https://audio.tudienkala.com/data/cache/images/300x225/c/o/contribution1.jpg,https://audio.tudienkala.com/audio/c/o/contribution.mp3
124,cover,/'kʌvə/,v,"che, phủ, trùm, bọc; bao gồm",The passport is covered with leather.,Quyển hộ chiếu được bọc bằng da.,https://audio.tudienkala.com/data/cache/images/300x225/c/o/cover1.jpg,https://audio.tudienkala.com/audio/c/o/cover.mp3
124,customer,/'kʌstəmə/,n,khách hàng (người mua hàng hóa hoặc dịch vụ),Let's make sure all invoices sent to customers are kept in alphabetical order.,Chúng ta phải chắc rằng mọi hóa đơn gửi cho khách hàng được giữ theo thứ tự ABC.,https://audio.tudienkala.com/data/cache/images/300x225/c/u/customer1.jpg,https://audio.tudienkala.com/audio/c/u/customer.mp3
124,deal,/diːl/,n,sự giao dịch,We did a deal with the management on overtime.,Chúng tôi đã có một sự thỏa thuận với ban giám đốc về việc làm thêm giờ.,https://audio.tudienkala.com/data/cache/images/300x225/d/e/deal1.jpg,https://audio.tudienkala.com/audio/d/e/deal.mp3
124,degree,/dɪˈgriː/,n,bằng cấp,I have a master's degree in English.,Tôi có bằng thạc sĩ tiếng Anh.,https://audio.tudienkala.com/data/cache/images/300x225/d/e/degree1.png,https://audio.tudienkala.com/audio/d/e/degree.mp3
124,deposit,/dɪˈpɒzɪt/,n,tiền đặt cọc,The shop promised to keep the goods for me if I paid a deposit.,Cửa hàng hứa sẽ giữ lại hàng cho tôi nếu tôi đưa trước tiền đặt cọc cho họ.,https://audio.tudienkala.com/data/cache/images/300x225/d/e/deposit1.jpg,https://audio.tudienkala.com/audio/d/e/deposit.mp3
124,designer,/dɪˈzaɪnə/,n,nhà thiết kế,He is a talented fashion designer.,Ông ấy là một nhà thiết kế thời trang tài năng.,https://audio.tudienkala.com/data/cache/images/300x225/d/e/designer1.jpg,https://audio.tudienkala.com/audio/d/e/designer.mp3
124,determine,/di'tə:min/,v,"xác định, định rõ","After reading the contract, I was still unable to determine if our company was liable for back wages.","Sau khi đọc hợp đồng, tôi vẫn không thể biết được liệu rằng công ty của chúng tôi có phải chịu trách nhiệm hoàn trả lại lương không.",https://audio.tudienkala.com/data/cache/images/300x225/d/e/determine1.png,https://audio.tudienkala.com/audio/d/e/determine.mp3
124,develop,/di'veləp/,v,phát triển,This job can give you an opportunity to develop new skills.,Công việc này có thể cho bạn cơ hội phát triển các kỹ năng mới.,https://audio.tudienkala.com/data/cache/images/300x225/d/e/develop1.jpg,https://audio.tudienkala.com/audio/d/e/develop.mp3
124,direct,/dɪˈrekt/,v,"làm đạo diễn (phim, kịch..)","Titanic is a romantic film, which was directed by James Cameron.",Titanic là một bộ phim lãng mạn được đạo diễn bởi James Cameron.,https://audio.tudienkala.com/data/images_example/300x225/t/i/titanic_is_ex1_587726597f8b9acf2f8b457b.jpg,https://audio.tudienkala.com/audio/d/i/direct.mp3
124,discuss,/dɪˈskʌs/,v,"thảo luận, tranh luận (một vấn đề gì)",They held a meeting to discuss the future of the company.,Họ đã tổ chức một cuộc họp để thảo luận về tương lai của công ty.,https://audio.tudienkala.com/data/cache/images/300x225/d/i/discuss2.jpg,https://audio.tudienkala.com/audio/d/i/discuss.mp3
124,display,/dis'plei/,v,"hiển thị, trình bày",The accounting program displays a current balance when opened.,Chương trình kế toán hiển thị một con số cân bằng thu chi khi mở (chương trình đó) ra.,https://audio.tudienkala.com/data/cache/images/300x225/d/i/display1.jpg,https://audio.tudienkala.com/audio/d/i/display.mp3
124,document,/ˈdɒkjʊmənt/,n,văn bản,This is the document for the new project.,Đây là văn bản cho dự án mới.,https://audio.tudienkala.com/data/cache/images/300x225/d/o/document1.jpg,https://audio.tudienkala.com/audio/d/o/document.mp3
125,duty,/'dju:ti/,n,"bổn phận, nhiệm vụ",It is my duty to report it to the police.,Nhiệm vụ của tôi là báo cáo nó với cảnh sát.,https://audio.tudienkala.com/data/images_example/300x225/i/t/it_is_my_d_ex1_5816cae97f8b9a24318b45d9.jpg,https://audio.tudienkala.com/audio/d/u/duty.mp3
125,employment,/ɪmˈplɔɪmənt/,n,công việc làm,She is looking for permanent employment.,Cô ta đang tìm việc làm lâu dài.,https://audio.tudienkala.com/data/images_example/300x225/s/h/she_is_loo_ex1_587726597f8b9acf2f8b457f.jpg,https://audio.tudienkala.com/audio/e/m/employment.mp3
125,ensure,/ɪnˈʃʊr/,v,bảo đảm,Please ensure (that) all lights are switched off.,Hãy đảm bảo (rằng) tất cả các đèn đều tắt.,https://audio.tudienkala.com/data/images_example/300x225/p/l/please_ens_ex1_5877265a7f8b9acf2f8b4581.jpg,https://audio.tudienkala.com/audio/e/n/ensure.mp3
125,enterprise,/'entəpraiz/,n,"hãng, công ty, xí nghiệp",The new enterprise quickly established an account with the office supply store.,"Công ty mới thiết lập một cách nhanh chóng bản thanh toán với cửa hàng đồ dùng văn phòng (bàn ghế, văn phòng phẩm, máy fax...).",https://audio.tudienkala.com/data/cache/images/300x225/e/n/enterprise1.jpg,https://audio.tudienkala.com/audio/e/n/enterprise.mp3
125,enthusiasm,/ɛnˈθuziˌæzəm/,n,lòng nhiệt tình,Many employees expressed enthusiasm about the current leaders.,Nhiều nhân viên thể hiện lòng nhiệt tình với người lãnh đạo hiện tại.,https://audio.tudienkala.com/data/cache/images/300x225/e/n/enthusiasm1.png,https://audio.tudienkala.com/audio/e/n/enthusiasm.mp3
125,environment,/ɪnˈvaɪrənmənt/,n,môi trường,We have to protect our environment.,Chúng ta phải bảo vệ môi trường của chúng tôi.,https://audio.tudienkala.com/data/cache/images/300x225/e/n/environment1.jpg,https://audio.tudienkala.com/audio/e/n/environment.mp3
125,exchange,/ɪksˈtʃeɪndʒ/,v,trao đổi,Everyone in the group exchange business card.,Tất cả mọi người trong nhóm đều trao đổi danh thiếp cho nhau.,https://audio.tudienkala.com/data/cache/images/300x225/e/x/exchange1.jpg,https://audio.tudienkala.com/audio/e/x/exchange.mp3
125,experience,/ɪkˈspɪriəns/,n,kinh nghiệm,Do you have any experience in teaching children?,Bạn có kinh nghiệm dạy trẻ con không?,https://audio.tudienkala.com/data/cache/images/300x225/e/x/experience1.jpg,https://audio.tudienkala.com/audio/e/x/experience.mp3
125,explain,/ɪkˈspleɪn/,v,giải thích,It was difficult to explain the problem to beginners.,Thật khó để giải thích vấn đề này cho những người mới.,https://audio.tudienkala.com/data/cache/images/300x225/e/x/explain1.jpg,https://audio.tudienkala.com/audio/e/x/explain.mp3
125,finance,/ˈfaɪnæns/,n,tài chính,"New York is the center of global finance, communications and business.","New York là trung tâm tài chính, thông tin và kinh tế của toàn thế giới.",https://audio.tudienkala.com/data/cache/images/300x225/f/i/finance1.jpg,https://audio.tudienkala.com/audio/f/i/finance.mp3
125,financial,/faɪˈnænʃl/,adj,(thuộc) tài chính,Tokyo and New York are major financial centres.,Tokyo và New York là trung tâm tài chính lớn.,https://audio.tudienkala.com/data/cache/images/300x225/f/i/financial2.jpg,https://audio.tudienkala.com/audio/f/i/financial.mp3
125,firm,/fɜːrm,n,"hãng, công ty",It's a progressive firm.,Đó là một công ty đang phát triển.,https://audio.tudienkala.com/data/cache/images/300x225/f/i/firm2.jpg,https://audio.tudienkala.com/audio/f/i/firm.mp3
125,focus,/ˈfəʊkəs/,n,"lấy nét, tâm điểm",His comments provided a focus for debate.,Bình luận của anh ấy cung cấp tâm điểm cho cuộc tranh luận.,https://audio.tudienkala.com/data/images_example/300x225/h/i/his_commen_ex1_582ec96f7f8b9aa2078b46d2.jpg,https://audio.tudienkala.com/audio/f/o/focus.mp3
125,function,/fʌŋkʃn/,n,"chức năng, nhiệm vụ",What is the function of this device?,Chức năng của thiết bị này là gì?,https://audio.tudienkala.com/data/cache/images/300x225/f/u/function1.png,https://audio.tudienkala.com/audio/f/u/function.mp3
125,guide,/gaɪd/,n,"hướng dẫn viên, sách hướng dẫn","I don't know where to go, so why don't we consult the guide.","Tôi không biết đi đâu, vậy thì sao chúng ta không hỏi ý kiến hướng dẫn viên.",https://audio.tudienkala.com/data/cache/images/300x225/g/u/guide1.png,https://audio.tudienkala.com/audio/g/u/guide.mp3
125,handle,/ˈhændl/,v,"xử lí, giải quyết",You can handle all these matters.,Bạn có thể xử lý tất cả những vấn đề này.,https://audio.tudienkala.com/data/cache/images/300x225/h/a/handle3.jpg,https://audio.tudienkala.com/audio/h/a/handle.mp3
125,honour,/ˈɑːnər/,n,"danh tiếng, danh dự",The visit was a signal honour.,Chuyến viếng thăm là một niềm vinh dự.,https://audio.tudienkala.com/data/cache/images/300x225/h/o/honour2.jpg,https://audio.tudienkala.com/audio/h/o/honour.mp3
125,human resources,/ˈhjuːmən ˈriːsɔːrs/,n,bộ phận nhân sự,She is working at human resources.,Cô đang làm việc ở bộ phận nhân sự.,https://audio.tudienkala.com/data/cache/images/300x225/h/u/human_resources1.jpg,https://audio.tudienkala.com/audio/h/u/human_resources.mp3
125,improve,/ɪmˈpruːv/,v,tốt lên,I cannot seem to improve my memory even if I try.,Tôi dường như không thể cải thiện trí nhớ của mình ngay cả khi tôi cố gắng.,https://audio.tudienkala.com/data/cache/images/300x225/i/m/improve2.jpg,https://audio.tudienkala.com/audio/i/m/improve.mp3
125,index,/ˈɪndeks/,n,mục lục (Sách thư viện),I am trying to look up a biology book in the index.,Tôi đang cố gắng để tìm một cuốn sách sinh học trong mục lục thư viện.,https://audio.tudienkala.com/data/cache/images/300x225/i/n/index1.jpg,https://audio.tudienkala.com/audio/i/n/index.mp3
125,initiative,/i'niʃiətiv/,n,"bước khởi đầu, sự khởi xướng",Take the initiative and engage your classmates in friendly conversation.,Hãy khởi xướng và thu hút các bạn cùng lớp tham gia vào một cuộc nói chuyện thân thiện.,https://audio.tudienkala.com/data/images_example/300x225/t/a/take_the_i_ex1_56248d127f8b9a020d261a10.jpg,https://audio.tudienkala.com/audio/i/n/initiative.mp3
125,insurance,/ɪnˈʃʊrəns/,n,bảo hiểm,You should seek advice from your financial adviser before deciding on appropriate insurance cover.,Bạn nên tìm kiếm lời khuyên từ các chuyên gia tư vấn tài chính của bạn trước khi quyết định mua bảo hiểm thích hợp.,https://audio.tudienkala.com/data/cache/images/300x225/i/n/insurance1.jpg,https://audio.tudienkala.com/audio/i/n/insurance.mp3
125,interest,/ˈɪntrəst/,n,sở thích,His interests are philosophy and chess.,Sở thích của cậu ấy là triết học và cờ vua.,https://audio.tudienkala.com/data/cache/images/300x225/i/n/interest1.jpg,https://audio.tudienkala.com/audio/i/n/interest.mp3
125,interview,/ˈɪntərvjuː/,n,cuộc phỏng vấn,He has an interview next week for the manager's job.,Anh ấy có một cuộc phỏng vấn vào tuần tới cho công việc của nhà quản lý.,https://audio.tudienkala.com/data/cache/images/300x225/i/n/interview2.jpg,https://audio.tudienkala.com/audio/i/n/interview.mp3
125,job description,/dʒɑːb dɪˈskrɪpʃn/,n,bản mô tả công việc,"A job description should be practical, clear and accurate to effectively define your needs.","Một mô tả công việc phải thực tế, rõ ràng và chính xác để xác định nhu cầu của bạn một cách hiệu quả .",https://audio.tudienkala.com/data/cache/images/300x225/j/o/job_description1.jpg,https://audio.tudienkala.com/audio/j/o/job_description.mp3
125,join,/dʒɔɪn/,v,tham gia,I'm sure everyone will join me in wishing you a very happy birthday.,Tôi chắc chắn rằng tất cả mọi người sẽ cùng tớ gửi tới cậu lời chúc mừng sinh nhật thật hạnh phúc.,https://audio.tudienkala.com/data/cache/images/300x225/j/o/join1.png,https://audio.tudienkala.com/audio/j/o/join.mp3
125,leadership,/ˈliːdərʃɪp/,n,khả năng lãnh đạo; đức tính của người lãnh đạo,Strong leadership is needed to captain the team.,Khả năng lãnh đạo là cần thiết để đội trưởng đội bóng.,https://audio.tudienkala.com/data/cache/images/300x225/l/e/leadership1.jpg,https://audio.tudienkala.com/audio/l/e/leadership.mp3
125,liability,"/,laiə'biliti/",n,"nguy cơ, điều gây khó khăn trở ngại",The slippery steps were a terrible liability for the store.,Những bậc thềm trơn trượt là một nguy cơ tệ hại cho cửa hàng.,https://audio.tudienkala.com/data/cache/images/300x225/l/i/liability1.png,https://audio.tudienkala.com/audio/l/i/liability.mp3
125,maintain,/men'tein/,v,duy trì,Combining physical activity with a healthy diet is the best way to maintain a healthy body weight.,Kết hợp hoạt động thể chất với chế độ ăn uống lành mạnh là cách tốt nhất để duy trì trọng lượng cơ thể khỏe mạnh.,https://audio.tudienkala.com/data/cache/images/300x225/m/a/maintain2.jpg,https://audio.tudienkala.com/audio/m/a/maintain.mp3
125,management,/ˈmænɪdʒmənt/ UK: /ˈmænɪdʒmənt/,n,"(sự) quản lý, quản trị",We need someone with good management style to help with our work.,Chúng tôi cần một người có cách quản lý tốt để giúp đỡ với công việc của chúng tôi.,https://audio.tudienkala.com/data/cache/images/300x225/m/a/management2.jpg,https://audio.tudienkala.com/audio/m/a/management.mp3
125,manager,/ˈmænɪdʒər/,n,giám đốc,He's the manager.,Ông ấy là quản lý.,https://audio.tudienkala.com/data/cache/images/300x225/m/a/manager1.png,https://audio.tudienkala.com/audio/m/a/manager.mp3
125,market,/'mɑ:kit/,n,"thị trường, chợ, nơi mua bán sản phẩm...",My mother goes to the market every morning.,Mẹ tôi đi vào chợ mỗi buổi sáng.,https://audio.tudienkala.com/data/cache/images/300x225/m/a/market1.png,https://audio.tudienkala.com/audio/m/a/market.mp3
125,master,/ˈmɑːstə(r)/,n,chủ nhân,They lived in fear of their master.,Họ sống trong sợ hãi ông chủ của mình.,https://audio.tudienkala.com/data/cache/images/300x225/m/a/master1.jpg,https://audio.tudienkala.com/audio/m/a/master.mp3
125,match,/mætʃ/,v,"ghép, nối",You need to match the following words with their Vietnamese meanings.,Bạn cần nối các từ sau với nghĩa tiếng Việt của chúng.,https://audio.tudienkala.com/data/cache/images/300x225/m/a/match-l61.jpg,https://audio.tudienkala.com/audio/m/a/match-l6.mp3
125,measure,/ˈmeʒər/,v,đo,Can you measure accurately with this ruler?,Cậu có thể đo chính xác với cái thước này không?,https://audio.tudienkala.com/data/cache/images/300x225/m/e/measure1.png,https://audio.tudienkala.com/audio/m/e/measure.mp3
125,merchant,/ˈmɜːtʃənt/,n,"nhà buôn, thương gia",He is a wine merchant.,Anh ta là một nhà buôn rượu.,https://audio.tudienkala.com/data/cache/images/300x225/m/e/merchant1.jpg,https://audio.tudienkala.com/audio/m/e/merchant.mp3
125,monitor,/'mɔnitə/,v,"quan sát, theo dõi",The patient had weekly appointments so that the doctor could monitor their progress.,Người bệnh có các cuộc hẹn hàng tuần để cho bác sĩ có thể theo dõi tiến triển của họ.,https://audio.tudienkala.com/data/images_example/300x225/t/h/the_patien_ex1_56248d177f8b9a040dc662d0.jpg,https://audio.tudienkala.com/audio/m/o/monitor.mp3
125,network,/ˈnetwɜːrk/,v,nối mạng,People stay after the speech to network.,Mọi người ở lại sau bài phát biểu để làm quen với những người cùng chí hướng.,https://audio.tudienkala.com/data/cache/images/300x225/n/e/network1.jpg,https://audio.tudienkala.com/audio/n/e/network.mp3
125,objective,/əbˈdʒektɪv/,n,"mục tiêu, mục đích, khách quan",The main objective of this meeting is to give more information on our plans.,Mục đích chính của cuộc họp này là để cung cấp thêm thông tin về các kế hoạch của chúng tôi.,https://audio.tudienkala.com/data/cache/images/300x225/o/b/objective1.jpg,https://audio.tudienkala.com/audio/o/b/objective.mp3
125,operate,/'ɔpəreit/,v,"vận hành, làm cho hoạt động",The train only operates in this area at the height of the tourist season.,Xe lửa chỉ chạy trong khu vực này vào lúc cao điểm của mùa du lịch.,https://audio.tudienkala.com/data/cache/images/300x225/o/p/operate1.png,https://audio.tudienkala.com/audio/o/p/operate.mp3
125,perform,/pəˈfɔːm/,v,"biểu diễn, trình diễn",A water puppet show is performed in a pool.,Chương trình múa rối nước được biểu diễn trong một cái bể nước.,https://audio.tudienkala.com/data/images_example/300x225/a/_/a_water_pu_ex1_56248cf57f8b9af80c012359.jpg,https://audio.tudienkala.com/audio/p/e/perform.mp3
